City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
175,Illapel,CL,71.64,broken clouds,-31.6308,-71.1653,Hotel Londres
177,Fuyang,CN,65.91,broken clouds,32.9,115.8167,Fuyang Wanda Realm Hotel
178,Santa Cruz,BO,80.06,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
180,Meulaboh,ID,78.1,overcast clouds,4.1363,96.1285,Kost Pria
184,Loa Janan,ID,73.51,overcast clouds,-0.583,117.095,Ss
186,Duobao,CN,65.03,broken clouds,30.67,112.6895,Yongsheng Hotel
187,Sola,VU,80.71,few clouds,-13.8833,167.55,Leumerus Bungalows
191,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
193,Yenagoa,NG,77.02,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
194,Gondanglegi,ID,74.75,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
197,Alofi,NU,79.81,few clouds,-19.0595,-169.9187,Taloa Heights
198,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
203,Tateyama,JP,65.93,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
204,Negrasi,RO,66.18,broken clouds,44.6,25.1167,Hanul Domnesc
205,Tahta,EG,79.63,clear sky,26.7693,31.5021,فندق الزيات
208,Treinta Y Tres,UY,65.93,clear sky,-33.2333,-54.3833,Jardines Apart-Hotel
209,Raga,SS,80.02,scattered clouds,8.4596,25.678,
211,Castro,BR,66.0,clear sky,-24.7911,-50.0119,CHACARA BAILLY
214,Marsh Harbour,BS,79.48,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
215,Praxedis Guerrero,MX,71.06,broken clouds,31.3667,-106.0167,Congregación placitas de Otero
217,Bujaru,BR,84.16,scattered clouds,-1.515,-48.0447,Hotel & Restaurante Beira Rio
219,Hambantota,LK,79.65,clear sky,6.1241,81.1185,Bungalow 63
220,Hami,CN,79.84,overcast clouds,42.8,93.45,Laoyutang Resort
221,Avarua,CK,78.84,moderate rain,-21.2078,-159.775,Paradise Inn
223,Kawalu,ID,72.75,overcast clouds,-7.3817,108.2082,West Jontor
224,Port Moresby,PG,76.44,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
226,Saint-Francois,FR,80.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
230,Hualmay,PE,69.26,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
233,Pundaguitan,PH,81.99,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
235,Anloga,GH,79.68,overcast clouds,5.7947,0.8973,Pin Drop Hotel
236,Vila Velha,BR,73.17,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
237,Kokopo,PG,76.26,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
240,Abu Dhabi,AE,83.97,clear sky,24.4667,54.3667,Beach Rotana
243,Xinxiang,CN,70.52,few clouds,35.3089,113.8672,Guoyu Holiday Inn
244,Faya,SA,73.92,clear sky,18.3851,42.4509,املاك خالد الشعشوع
246,Basoko,CD,77.85,overcast clouds,1.2391,23.616,Jackyna Hotel
247,Port Blair,IN,83.1,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
249,Sibolga,ID,76.6,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
254,Luganville,VU,77.0,few clouds,-15.5333,167.1667,The Espiritu Hotel
255,Havelock,US,82.96,overcast clouds,34.8791,-76.9013,Sherwood Motel
257,Kutum,SD,83.91,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
258,Hidalgo,MX,83.26,clear sky,20.5,-99.0,
259,Kamina,CD,72.01,overcast clouds,-8.7386,24.9906,Guest House Florvia
260,Margate,GB,66.69,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
261,Nsanje,MW,74.59,few clouds,-16.92,35.262,Nsanje Discovery Lodge
263,Shenzhen,CN,77.27,overcast clouds,22.5455,114.0683,Grand Skylight
268,Sao Joao Da Barra,BR,71.94,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
273,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
275,Ambilobe,MG,74.52,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
277,Guerrero Negro,MX,66.76,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
279,Kinablangan,PH,77.99,broken clouds,7.6947,126.5503,Morales Eatery and Lodging House
280,Yinchuan,CN,66.34,scattered clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
281,Touros,BR,82.4,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
282,Cabedelo,BR,80.22,light rain,-6.9811,-34.8339,Hotel Pigalle
283,Chartres,FR,69.17,overcast clouds,48.4167,1.5,Hotel & Spa Le Grand Monarque Chartres
285,Xuanhua,CN,65.68,broken clouds,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
286,Kavieng,PG,82.58,broken clouds,-2.5744,150.7967,Nusa Island Retreat
289,Soyo,AO,76.71,broken clouds,-6.1349,12.3689,Hotel Mpampa
292,Axim,GH,76.59,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
293,Bengkulu,ID,76.77,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
294,Tual,ID,83.07,few clouds,-5.6667,132.75,Grand Vilia Hotel
295,Catamarca,AR,80.58,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
298,Nieuwpoort,BE,72.18,broken clouds,51.1244,2.7735,Hotel Gemeente Huis
299,Terekli-Mekteb,RU,70.12,clear sky,44.1671,45.8698,"Gostevoy Dvor ""U Gul'zary"""
301,Saint-Georges,GD,82.2,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
302,Asyut,EG,79.47,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
308,Uruguaiana,BR,69.73,few clouds,-29.7547,-57.0883,Fares Turis Hotel
309,Tuy Hoa,VN,78.73,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
312,Itarema,BR,82.87,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
314,Kokrajhar,IN,74.77,overcast clouds,26.399,90.2718,Happy Lodging
316,Newport,GB,66.16,overcast clouds,51.5877,-2.9984,ibis budget Newport
322,Acari,PE,77.99,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
326,Balabac,PH,80.98,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
328,Hamilton,US,67.21,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
330,Bandarbeyla,SO,80.94,broken clouds,9.4942,50.8122,JABIR HOTEL
331,Tura,IN,72.57,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
332,Afua,BR,82.15,few clouds,-0.1567,-50.3867,Hotel Dias
335,Marzuq,YE,80.58,overcast clouds,14.4,46.4667,
337,Beloha,MG,66.24,scattered clouds,-25.1667,45.05,
340,Zenzeli,RU,65.16,few clouds,45.9241,47.0474,"Gostinitsa ""Zvezdnaya"""
341,Korla,CN,80.33,overcast clouds,41.7597,86.1469,Gulisitan Hotel
344,Bac Lieu,VN,80.28,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
345,Sao Filipe,CV,72.75,scattered clouds,14.8961,-24.4956,Hotel Xaguate
348,Duku,NG,80.83,light rain,11.2361,4.9073,
349,Qingquan,CN,67.69,overcast clouds,30.4511,115.2559,Caiyuan Hotel
353,Batangafo,CF,84.11,overcast clouds,7.3008,18.2833,OCHA Office
354,San Andres,CO,81.99,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
359,Sijunjung,ID,71.74,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
364,Lanja,IN,80.11,few clouds,16.85,73.55,Naivedyam Farmstay
367,Moron,AR,69.49,clear sky,-34.6534,-58.6198,Hotel Morón
369,Basco,PH,81.68,broken clouds,20.4487,121.9702,Nathaniel's Lodge
372,Bogo,PH,78.98,overcast clouds,11.0517,124.0055,Acrige Apartelle
373,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
376,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
381,Merauke,ID,78.13,few clouds,-8.4667,140.3333,
